Samples,Testing Fee,Labor Fee,external: addition,Total,Gold Sputter,Admin Fee,Total Cost
1,1000,1000,500,2500,800,500,3800
2,2000,1300,700,4000,800,500,5300
3,3000,1600,900,5500,800,500,6800
4,4000,2000,1100,7100,800,500,8400
5,5000,2300,1300,8600,800,500,9900
6,6000,2600,1500,10100,800,500,11400
7,7000,3000,1700,11700,800,500,13000
8,8000,3300,1900,13200,1600,500,15300
9,9000,3600,2100,14700,1600,500,16800
10,10000,4000,2300,16300,1600,500,18400
11,11000,4300,2500,17800,1600,500,19900
12,12000,4600,2700,19300,1600,500,21400
13,13000,5000,2900,20900,1600,500,23000
14,14000,5300,3100,22400,1600,500,24500
15,15000,5600,3300,23900,2400,500,26800
16,16000,6000,3500,25500,2400,500,28400
17,17000,6300,3700,27000,2400,500,29900
18,18000,6600,3900,28500,2400,500,31400
19,19000,7000,4100,30100,2400,500,33000
20,20000,7300,4300,31600,2400,500,34500
21,21000,7600,4500,33100,2400,500,36000
22,22000,8000,4700,34700,3200,500,38400
23,23000,8300,4900,36200,3200,500,39900
24,24000,8600,5100,37700,3200,500,41400
25,25000,9000,5300,39300,3200,500,43000
26,26000,9300,5500,40800,3200,500,44500
27,27000,9600,5700,42300,3200,500,46000
28,28000,10000,5900,43900,3200,500,47600
29,29000,10300,6100,45400,4000,500,49900
30,30000,10600,6300,46900,4000,500,51400
31,31000,11000,6500,48500,4000,500,53000
32,32000,11300,6700,50000,4000,500,54500
33,33000,11600,6900,51500,4000,500,56000
34,34000,12000,7100,53100,4000,500,57600
35,35000,12300,7300,54600,4000,500,59100
36,36000,12600,7500,56100,4800,500,61400
37,37000,13000,7700,57700,4800,500,63000
38,38000,13300,7900,59200,4800,500,64500
39,39000,13600,8100,60700,4800,500,66000
40,40000,14000,8300,62300,4800,500,67600
41,41000,14300,8500,63800,4800,500,69100
42,42000,14600,8700,65300,4800,500,70600
43,43000,15000,8900,66900,5600,500,73000
44,44000,15300,9100,68400,5600,500,74500
45,45000,15600,9300,69900,5600,500,76000
46,46000,16000,9500,71500,5600,500,77600
47,47000,16300,9700,73000,5600,500,79100
48,48000,16600,9900,74500,5600,500,80600
49,49000,17000,10100,76100,5600,500,82200
50,50000,17300,10300,77600,6400,500,84500
51,51000,17600,10500,79100,6400,500,86000
52,52000,18000,10700,80700,6400,500,87600
53,53000,18300,10900,82200,6400,500,89100
54,54000,18600,11100,83700,6400,500,90600
55,55000,19000,11300,85300,6400,500,92200
56,56000,19300,11500,86800,6400,500,93700
57,57000,19600,11700,88300,7200,500,96000
58,58000,20000,11900,89900,7200,500,97600
59,59000,20300,12100,91400,7200,500,99100
60,60000,20600,12300,92900,7200,500,100600
61,61000,21000,12500,94500,7200,500,102200
62,62000,21300,12700,96000,7200,500,103700
63,63000,21600,12900,97500,7200,500,105200
64,64000,22000,13100,99100,8000,500,107600
65,65000,22300,13300,100600,8000,500,109100
66,66000,22600,13500,102100,8000,500,110600
67,67000,23000,13700,103700,8000,500,112200
68,68000,23300,13900,105200,8000,500,113700
69,69000,23600,14100,106700,8000,500,115200
70,70000,24000,14300,108300,8000,500,116800
71,71000,24300,14500,109800,8800,500,119100
72,72000,24600,14700,111300,8800,500,120600
73,73000,25000,14900,112900,8800,500,122200
74,74000,25300,15100,114400,8800,500,123700
75,75000,25600,15300,115900,8800,500,125200
76,76000,26000,15500,117500,8800,500,126800
77,77000,26300,15700,119000,8800,500,128300
78,78000,26600,15900,120500,9600,500,130600
79,79000,27000,16100,122100,9600,500,132200
80,80000,27300,16300,123600,9600,500,133700
81,81000,27600,16500,125100,9600,500,135200
82,82000,28000,16700,126700,9600,500,136800
83,83000,28300,16900,128200,9600,500,138300
84,84000,28600,17100,129700,9600,500,139800
85,85000,29000,17300,131300,10400,500,142200
86,86000,29300,17500,132800,10400,500,143700
87,87000,29600,17700,134300,10400,500,145200
88,88000,30000,17900,135900,10400,500,146800
89,89000,30300,18100,137400,10400,500,148300
90,90000,30600,18300,138900,10400,500,149800
91,91000,31000,18500,140500,10400,500,151400
92,92000,31300,18700,142000,11200,500,153700
93,93000,31600,18900,143500,11200,500,155200
94,94000,32000,19100,145100,11200,500,156800
95,95000,32300,19300,146600,11200,500,158300
96,96000,32600,19500,148100,11200,500,159800
97,97000,33000,19700,149700,11200,500,161400
98,98000,33300,19900,151200,11200,500,162900
99,99000,33600,20100,152700,12000,500,165200
100,100000,34000,20300,154300,12000,500,166800
