Samples,Testing Fee,Labor Fee,external: addition,Total,Gold Sputter,Admin Fee,Total Cost
1,2000,2000,500,4500,800,500,5800
2,4000,2600,700,7300,800,500,8600
3,6000,3200,900,10100,800,500,11400
4,8000,4000,1100,13100,800,500,14400
5,10000,4600,1300,15900,800,500,17200
6,12000,5200,1500,18700,800,500,20000
7,14000,6000,1700,21700,800,500,23000
8,16000,6600,1900,24500,1600,500,26600
9,18000,7200,2100,27300,1600,500,29400
10,20000,8000,2300,30300,1600,500,32400
11,22000,8600,2500,33100,1600,500,35200
12,24000,9200,2700,35900,1600,500,38000
13,26000,10000,2900,38900,1600,500,41000
14,28000,10600,3100,41700,1600,500,43800
15,30000,11200,3300,44500,2400,500,47400
16,32000,12000,3500,47500,2400,500,50400
17,34000,12600,3700,50300,2400,500,53200
18,36000,13200,3900,53100,2400,500,56000
19,38000,14000,4100,56100,2400,500,59000
20,40000,14600,4300,58900,2400,500,61800
21,42000,15200,4500,61700,2400,500,64600
22,44000,16000,4700,64700,3200,500,68400
23,46000,16600,4900,67500,3200,500,71200
24,48000,17200,5100,70300,3200,500,74000
25,50000,18000,5300,73300,3200,500,77000
26,52000,18600,5500,76100,3200,500,79800
27,54000,19200,5700,78900,3200,500,82600
28,56000,20000,5900,81900,3200,500,85600
29,58000,20600,6100,84700,4000,500,89200
30,60000,21200,6300,87500,4000,500,92000
31,62000,22000,6500,90500,4000,500,95000
32,64000,22600,6700,93300,4000,500,97800
33,66000,23200,6900,96100,4000,500,100600
34,68000,24000,7100,99100,4000,500,103600
35,70000,24600,7300,101900,4000,500,106400
36,72000,25200,7500,104700,4800,500,110000
37,74000,26000,7700,107700,4800,500,113000
38,76000,26600,7900,110500,4800,500,115800
39,78000,27200,8100,113300,4800,500,118600
40,80000,28000,8300,116300,4800,500,121600
41,82000,28600,8500,119100,4800,500,124400
42,84000,29200,8700,121900,4800,500,127200
43,86000,30000,8900,124900,5600,500,131000
44,88000,30600,9100,127700,5600,500,133800
45,90000,31200,9300,130500,5600,500,136600
46,92000,32000,9500,133500,5600,500,139600
47,94000,32600,9700,136300,5600,500,142400
48,96000,33200,9900,139100,5600,500,145200
49,98000,34000,10100,142100,5600,500,148200
50,100000,34600,10300,144900,6400,500,151800
51,102000,35200,10500,147700,6400,500,154600
52,104000,36000,10700,150700,6400,500,157600
53,106000,36600,10900,153500,6400,500,160400
54,108000,37200,11100,156300,6400,500,163200
55,110000,38000,11300,159300,6400,500,166200
56,112000,38600,11500,162100,6400,500,169000
57,114000,39200,11700,164900,7200,500,172600
58,116000,40000,11900,167900,7200,500,175600
59,118000,40600,12100,170700,7200,500,178400
60,120000,41200,12300,173500,7200,500,181200
61,122000,42000,12500,176500,7200,500,184200
62,124000,42600,12700,179300,7200,500,187000
63,126000,43200,12900,182100,7200,500,189800
64,128000,44000,13100,185100,8000,500,193600
65,130000,44600,13300,187900,8000,500,196400
66,132000,45200,13500,190700,8000,500,199200
67,134000,46000,13700,193700,8000,500,202200
68,136000,46600,13900,196500,8000,500,205000
69,138000,47200,14100,199300,8000,500,207800
70,140000,48000,14300,202300,8000,500,210800
71,142000,48600,14500,205100,8800,500,214400
72,144000,49200,14700,207900,8800,500,217200
73,146000,50000,14900,210900,8800,500,220200
74,148000,50600,15100,213700,8800,500,223000
75,150000,51200,15300,216500,8800,500,225800
76,152000,52000,15500,219500,8800,500,228800
77,154000,52600,15700,222300,8800,500,231600
78,156000,53200,15900,225100,9600,500,235200
79,158000,54000,16100,228100,9600,500,238200
80,160000,54600,16300,230900,9600,500,241000
81,162000,55200,16500,233700,9600,500,243800
82,164000,56000,16700,236700,9600,500,246800
83,166000,56600,16900,239500,9600,500,249600
84,168000,57200,17100,242300,9600,500,252400
85,170000,58000,17300,245300,10400,500,256200
86,172000,58600,17500,248100,10400,500,259000
87,174000,59200,17700,250900,10400,500,261800
88,176000,60000,17900,253900,10400,500,264800
89,178000,60600,18100,256700,10400,500,267600
90,180000,61200,18300,259500,10400,500,270400
91,182000,62000,18500,262500,10400,500,273400
92,184000,62600,18700,265300,11200,500,277000
93,186000,63200,18900,268100,11200,500,279800
94,188000,64000,19100,271100,11200,500,282800
95,190000,64600,19300,273900,11200,500,285600
96,192000,65200,19500,276700,11200,500,288400
97,194000,66000,19700,279700,11200,500,291400
98,196000,66600,19900,282500,11200,500,294200
99,198000,67200,20100,285300,12000,500,297800
100,200000,68000,20300,288300,12000,500,300800
